Position	Counts A	Counts B	Counts AB
3.00999999	20536.00000000	0.00000000	0.00000000
3.01999998	34312.00000000	0.00000000	0.00000000
3.02999997	36281.00000000	0.00000000	0.00000000
3.03999996	38987.00000000	0.00000000	0.00000000
3.04999995	33451.00000000	0.00000000	0.00000000
3.05999994	28285.00000000	0.00000000	0.00000000
3.06999993	20906.00000000	0.00000000	0.00000000
3.07999992	15124.00000000	0.00000000	0.00000000
3.08999991	11189.00000000	0.00000000	0.00000000
3.09999990	10942.00000000	0.00000000	0.00000000
3.10999990	12910.00000000	0.00000000	0.00000000
3.11999989	16601.00000000	0.00000000	0.00000000
3.12999988	21643.00000000	0.00000000	0.00000000
3.13999987	27671.00000000	0.00000000	0.00000000
3.14999986	60508.00000000	0.00000000	0.00000000
3.15999985	44399.00000000	0.00000000	0.00000000
3.16999984	47104.00000000	0.00000000	0.00000000
3.17999983	48335.00000000	0.00000000	0.00000000
3.18999982	45628.00000000	0.00000000	0.00000000
3.19999981	40831.00000000	0.00000000	0.00000000
3.20999980	33206.00000000	0.00000000	0.00000000
3.21999979	25702.00000000	0.00000000	0.00000000
3.22999978	19061.00000000	0.00000000	0.00000000
3.23999977	13648.00000000	0.00000000	0.00000000
3.24999976	10696.00000000	0.00000000	0.00000000
3.25999975	10574.00000000	0.00000000	0.00000000
3.26999974	18569.00000000	0.00000000	0.00000000
3.27999973	23488.00000000	0.00000000	0.00000000
3.28999972	28654.00000000	0.00000000	0.00000000
3.29999971	33821.00000000	0.00000000	0.00000000
3.30999970	39601.00000000	0.00000000	0.00000000
3.31999969	43292.00000000	0.00000000	0.00000000
3.32999969	45874.00000000	0.00000000	0.00000000
3.33999968	46858.00000000	0.00000000	0.00000000
3.34999967	45014.00000000	0.00000000	0.00000000
3.35999966	41323.00000000	0.00000000	0.00000000
3.36999965	35420.00000000	0.00000000	0.00000000
3.37999964	27547.00000000	0.00000000	0.00000000
3.38999963	16355.00000000	0.00000000	0.00000000
3.39999962	14263.00000000	0.00000000	0.00000000
3.40999961	15002.00000000	0.00000000	0.00000000
3.41999960	18568.00000000	0.00000000	0.00000000
3.42999959	23980.00000000	0.00000000	0.00000000
3.43999958	30992.00000000	0.00000000	0.00000000
3.44999957	37633.00000000	0.00000000	0.00000000
3.45999956	42062.00000000	0.00000000	0.00000000
3.46999955	45259.00000000	0.00000000	0.00000000
3.47999954	46612.00000000	0.00000000	0.00000000
3.48999953	45875.00000000	0.00000000	0.00000000
3.49999952	43783.00000000	0.00000000	0.00000000
3.50999951	40339.00000000	0.00000000	0.00000000
3.51999950	29638.00000000	0.00000000	0.00000000
3.52999949	23120.00000000	0.00000000	0.00000000
3.53999949	18199.00000000	0.00000000	0.00000000
3.54999948	15986.00000000	0.00000000	0.00000000
3.55999947	15616.00000000	0.00000000	0.00000000
3.56999946	16477.00000000	0.00000000	0.00000000
3.57999945	19799.00000000	0.00000000	0.00000000
3.58999944	25702.00000000	0.00000000	0.00000000
3.59999943	32714.00000000	0.00000000	0.00000000
3.60999942	39355.00000000	0.00000000	0.00000000
3.61999941	46612.00000000	0.00000000	0.00000000
3.62999940	60265.00000000	0.00000000	0.00000000
3.63999939	53624.00000000	0.00000000	0.00000000
3.64999938	50302.00000000	0.00000000	0.00000000
3.65999937	43783.00000000	0.00000000	0.00000000
3.66999936	35912.00000000	0.00000000	0.00000000
