Position	Counts A	Counts B	Counts AB
3.00999999	181417.00000000	0.00000000	0.00000000
3.01999998	127419.00000000	0.00000000	0.00000000
3.02999997	93471.00000000	0.00000000	0.00000000
3.03999996	56940.00000000	0.00000000	0.00000000
3.04999995	46977.00000000	0.00000000	0.00000000
3.05999994	54479.00000000	0.00000000	0.00000000
3.06999993	77235.00000000	0.00000000	0.00000000
3.07999992	111552.00000000	0.00000000	0.00000000
3.08999991	155217.00000000	0.00000000	0.00000000
3.09999990	222374.00000000	0.00000000	0.00000000
3.10999990	258414.00000000	0.00000000	0.00000000
3.11999989	370835.00000000	0.00000000	0.00000000
3.12999988	347959.00000000	0.00000000	0.00000000
3.13999987	395928.00000000	0.00000000	0.00000000
3.14999986	416714.00000000	0.00000000	0.00000000
3.15999985	400478.00000000	0.00000000	0.00000000
3.16999984	321637.00000000	0.00000000	0.00000000
3.17999983	344514.00000000	0.00000000	0.00000000
3.18999982	274035.00000000	0.00000000	0.00000000
3.19999981	225941.00000000	0.00000000	0.00000000
3.20999980	170346.00000000	0.00000000	0.00000000
3.21999979	121515.00000000	0.00000000	0.00000000
3.22999978	80556.00000000	0.00000000	0.00000000
3.23999977	56571.00000000	0.00000000	0.00000000
3.24999976	48452.00000000	0.00000000	0.00000000
3.25999975	59277.00000000	0.00000000	0.00000000
3.26999974	83385.00000000	0.00000000	0.00000000
3.27999973	158290.00000000	0.00000000	0.00000000
3.28999972	194577.00000000	0.00000000	0.00000000
3.29999971	258906.00000000	0.00000000	0.00000000
3.30999970	310320.00000000	0.00000000	0.00000000
3.31999969	353616.00000000	0.00000000	0.00000000
3.32999969	395312.00000000	0.00000000	0.00000000
3.33999968	400479.00000000	0.00000000	0.00000000
3.34999967	374403.00000000	0.00000000	0.00000000
3.35999966	381660.00000000	0.00000000	0.00000000
3.36999965	345006.00000000	0.00000000	0.00000000
3.37999964	302940.00000000	0.00000000	0.00000000
3.38999963	221022.00000000	0.00000000	0.00000000
3.39999962	157801.00000000	0.00000000	0.00000000
3.40999961	128896.00000000	0.00000000	0.00000000
3.41999960	108969.00000000	0.00000000	0.00000000
3.42999959	75144.00000000	0.00000000	0.00000000
3.43999958	47838.00000000	0.00000000	0.00000000
3.44999957	52266.00000000	0.00000000	0.00000000
3.45999956	73667.00000000	0.00000000	0.00000000
3.46999955	116226.00000000	0.00000000	0.00000000
3.47999954	159399.00000000	0.00000000	0.00000000
3.48999953	245251.00000000	0.00000000	0.00000000
3.49999952	271329.00000000	0.00000000	0.00000000
3.50999951	379937.00000000	0.00000000	0.00000000
3.51999950	357306.00000000	0.00000000	0.00000000
3.52999949	399864.00000000	0.00000000	0.00000000
3.53999949	406014.00000000	0.00000000	0.00000000
3.54999948	382521.00000000	0.00000000	0.00000000
3.55999947	371082.00000000	0.00000000	0.00000000
3.56999946	335535.00000000	0.00000000	0.00000000
3.57999945	276741.00000000	0.00000000	0.00000000
3.58999944	197285.00000000	0.00000000	0.00000000
3.59999943	207367.00000000	0.00000000	0.00000000
3.60999942	109830.00000000	0.00000000	0.00000000
3.61999941	73914.00000000	0.00000000	0.00000000
3.62999940	51897.00000000	0.00000000	0.00000000
3.63999939	48821.00000000	0.00000000	0.00000000
3.64999938	65550.00000000	0.00000000	0.00000000
3.65999937	92364.00000000	0.00000000	0.00000000
3.66999936	133077.00000000	0.00000000	0.00000000
3.67999935	220897.00000000	0.00000000	0.00000000
3.68999934	234921.00000000	0.00000000	0.00000000
3.69999933	351893.00000000	0.00000000	0.00000000
3.70999932	331600.00000000	0.00000000	0.00000000
3.71999931	392115.00000000	0.00000000	0.00000000
3.72999930	448079.00000000	0.00000000	0.00000000
3.73999929	402200.00000000	0.00000000	0.00000000
3.74999928	385719.00000000	0.00000000	0.00000000
3.75999928	352878.00000000	0.00000000	0.00000000
3.76999927	261367.00000000	0.00000000	0.00000000
3.77999926	196792.00000000	0.00000000	0.00000000
3.78999925	171576.00000000	0.00000000	0.00000000
3.79999924	121146.00000000	0.00000000	0.00000000
3.80999923	76497.00000000	0.00000000	0.00000000
3.81999922	53496.00000000	0.00000000	0.00000000
3.82999921	49436.00000000	0.00000000	0.00000000
3.83999920	67272.00000000	0.00000000	0.00000000
3.84999919	101958.00000000	0.00000000	0.00000000
3.85999918	157430.00000000	0.00000000	0.00000000
3.86999917	204172.00000000	0.00000000	0.00000000
3.87999916	284859.00000000	0.00000000	0.00000000
3.88999915	338364.00000000	0.00000000	0.00000000
3.89999914	372803.00000000	0.00000000	0.00000000
3.90999913	395928.00000000	0.00000000	0.00000000
3.91999912	404538.00000000	0.00000000	0.00000000
3.92999911	394697.00000000	0.00000000	0.00000000
3.93999910	368498.00000000	0.00000000	0.00000000
3.94999909	330000.00000000	0.00000000	0.00000000
3.95999908	214996.00000000	0.00000000	0.00000000
3.96999907	194084.00000000	0.00000000	0.00000000
3.97999907	141318.00000000	0.00000000	0.00000000
3.98999906	95685.00000000	0.00000000	0.00000000
3.99999905	65673.00000000	0.00000000	0.00000000
4.00999928	51282.00000000	0.00000000	0.00000000
4.01999950	52388.00000000	0.00000000	0.00000000
4.02999973	69855.00000000	0.00000000	0.00000000
4.03999996	102696.00000000	0.00000000	0.00000000
4.05000019	206627.00000000	0.00000000	0.00000000
4.06000042	189412.00000000	0.00000000	0.00000000
4.07000065	274035.00000000	0.00000000	0.00000000
4.08000088	319913.00000000	0.00000000	0.00000000
4.09000111	357921.00000000	0.00000000	0.00000000
4.10000134	385596.00000000	0.00000000	0.00000000
4.11000156	411548.00000000	0.00000000	0.00000000
4.12000179	402816.00000000	0.00000000	0.00000000
4.13000202	388424.00000000	0.00000000	0.00000000
4.14000225	359766.00000000	0.00000000	0.00000000
4.15000248	292607.00000000	0.00000000	0.00000000
4.16000271	238980.00000000	0.00000000	0.00000000
4.17000294	180309.00000000	0.00000000	0.00000000
4.18000317	131232.00000000	0.00000000	0.00000000
4.19000340	89166.00000000	0.00000000	0.00000000
4.20000362	60014.00000000	0.00000000	0.00000000
4.21000385	49191.00000000	0.00000000	0.00000000
4.22000408	56694.00000000	0.00000000	0.00000000
4.23000431	80064.00000000	0.00000000	0.00000000
4.24000454	171326.00000000	0.00000000	0.00000000
4.25000477	190395.00000000	0.00000000	0.00000000
4.26000500	243408.00000000	0.00000000	0.00000000
4.27000523	319421.00000000	0.00000000	0.00000000
4.28000546	337872.00000000	0.00000000	0.00000000
4.29000568	405521.00000000	0.00000000	0.00000000
4.30000591	394944.00000000	0.00000000	0.00000000
4.31000614	402816.00000000	0.00000000	0.00000000
4.32000637	389409.00000000	0.00000000	0.00000000
4.33000660	358905.00000000	0.00000000	0.00000000
4.34000683	285351.00000000	0.00000000	0.00000000
4.35000706	216841.00000000	0.00000000	0.00000000
4.36000729	157679.00000000	0.00000000	0.00000000
4.37000751	100485.00000000	0.00000000	0.00000000
4.38000774	60634.00000000	0.00000000	0.00000000
4.39000797	63090.00000000	0.00000000	0.00000000
4.40000820	50175.00000000	0.00000000	0.00000000
4.41000843	55586.00000000	0.00000000	0.00000000
4.42000866	77727.00000000	0.00000000	0.00000000
4.43000889	115734.00000000	0.00000000	0.00000000
4.44000912	162843.00000000	0.00000000	0.00000000
4.45000935	282888.00000000	0.00000000	0.00000000
4.46000957	273297.00000000	0.00000000	0.00000000
4.47000980	385595.00000000	0.00000000	0.00000000
4.48001003	361488.00000000	0.00000000	0.00000000
4.49001026	399864.00000000	0.00000000	0.00000000
4.50001049	404169.00000000	0.00000000	0.00000000
4.51001072	391991.00000000	0.00000000	0.00000000
4.52001095	365055.00000000	0.00000000	0.00000000
4.53001118	326555.00000000	0.00000000	0.00000000
4.54001141	226066.00000000	0.00000000	0.00000000
4.55001163	253860.00000000	0.00000000	0.00000000
4.56001186	140580.00000000	0.00000000	0.00000000
4.57001209	96300.00000000	0.00000000	0.00000000
4.58001232	66042.00000000	0.00000000	0.00000000
4.59001255	50913.00000000	0.00000000	0.00000000
4.60001278	55832.00000000	0.00000000	0.00000000
4.61001301	79203.00000000	0.00000000	0.00000000
4.62001324	117948.00000000	0.00000000	0.00000000
4.63001347	167764.00000000	0.00000000	0.00000000
4.64001369	230494.00000000	0.00000000	0.00000000
4.65001392	307491.00000000	0.00000000	0.00000000
4.66001415	351770.00000000	0.00000000	0.00000000
4.67001438	405891.00000000	0.00000000	0.00000000
4.68001461	401586.00000000	0.00000000	0.00000000
4.69001484	416469.00000000	0.00000000	0.00000000
4.70001507	391623.00000000	0.00000000	0.00000000
4.71001530	364193.00000000	0.00000000	0.00000000
4.72001553	305646.00000000	0.00000000	0.00000000
4.73001575	255092.00000000	0.00000000	0.00000000
4.74001598	200112.00000000	0.00000000	0.00000000
4.75001621	143901.00000000	0.00000000	0.00000000
4.76001644	99867.00000000	0.00000000	0.00000000
4.77001667	67764.00000000	0.00000000	0.00000000
4.78001690	52142.00000000	0.00000000	0.00000000
4.79001713	55218.00000000	0.00000000	0.00000000
4.80001736	75882.00000000	0.00000000	0.00000000
4.81001759	175016.00000000	0.00000000	0.00000000
4.82001781	183507.00000000	0.00000000	0.00000000
4.83001804	242793.00000000	0.00000000	0.00000000
4.84001827	294084.00000000	0.00000000	0.00000000
4.85001850	354353.00000000	0.00000000	0.00000000
4.86001873	372804.00000000	0.00000000	0.00000000
4.87001896	396912.00000000	0.00000000	0.00000000
4.88001919	402939.00000000	0.00000000	0.00000000
4.89001942	335905.00000000	0.00000000	0.00000000
4.90001965	350049.00000000	0.00000000	0.00000000
4.91001987	309090.00000000	0.00000000	0.00000000
4.92002010	243408.00000000	0.00000000	0.00000000
4.93002033	140459.00000000	0.00000000	0.00000000
4.94002056	125944.00000000	0.00000000	0.00000000
4.95002079	108600.00000000	0.00000000	0.00000000
4.96002102	82891.00000000	0.00000000	0.00000000
4.97002125	49560.00000000	0.00000000	0.00000000
4.98002148	58416.00000000	0.00000000	0.00000000
4.99002171	84245.00000000	0.00000000	0.00000000
5.00002193	123852.00000000	0.00000000	0.00000000
5.01002216	174651.00000000	0.00000000	0.00000000
5.02002239	287931.00000000	0.00000000	0.00000000
5.03002262	279448.00000000	0.00000000	0.00000000
5.04002285	393466.00000000	0.00000000	0.00000000
5.05002308	366900.00000000	0.00000000	0.00000000
5.06002331	431720.00000000	0.00000000	0.00000000
5.07002354	402816.00000000	0.00000000	0.00000000
5.08002377	388671.00000000	0.00000000	0.00000000
5.09002399	349311.00000000	0.00000000	0.00000000
5.10002422	288919.00000000	0.00000000	0.00000000
5.11002445	219670.00000000	0.00000000	0.00000000
5.12002468	154727.00000000	0.00000000	0.00000000
5.13002491	101223.00000000	0.00000000	0.00000000
5.14002514	116964.00000000	0.00000000	0.00000000
5.15002537	81663.00000000	0.00000000	0.00000000
5.16002560	50052.00000000	0.00000000	0.00000000
5.17002583	53865.00000000	0.00000000	0.00000000
5.18002605	75512.00000000	0.00000000	0.00000000
5.19002628	110937.00000000	0.00000000	0.00000000
5.20002651	157554.00000000	0.00000000	0.00000000
5.21002674	220406.00000000	0.00000000	0.00000000
5.22002697	260874.00000000	0.00000000	0.00000000
5.23002720	373172.00000000	0.00000000	0.00000000
5.24002743	352386.00000000	0.00000000	0.00000000
5.25002766	395067.00000000	0.00000000	0.00000000
5.26002789	401832.00000000	0.00000000	0.00000000
5.27002811	406997.00000000	0.00000000	0.00000000
5.28002834	379569.00000000	0.00000000	0.00000000
5.29002857	326925.00000000	0.00000000	0.00000000
5.30002880	241195.00000000	0.00000000	0.00000000
5.31002903	231970.00000000	0.00000000	0.00000000
5.32002926	210566.00000000	0.00000000	0.00000000
5.33002949	111307.00000000	0.00000000	0.00000000
5.34002972	88428.00000000	0.00000000	0.00000000
5.35002995	59892.00000000	0.00000000	0.00000000
5.36003017	51158.00000000	0.00000000	0.00000000
5.37003040	59400.00000000	0.00000000	0.00000000
5.38003063	82647.00000000	0.00000000	0.00000000
5.39003086	121761.00000000	0.00000000	0.00000000
5.40003109	229998.00000000	0.00000000	0.00000000
5.41003132	221022.00000000	0.00000000	0.00000000
5.42003155	331598.00000000	0.00000000	0.00000000
5.43003178	346727.00000000	0.00000000	0.00000000
5.44003201	379446.00000000	0.00000000	0.00000000
5.45003223	390762.00000000	0.00000000	0.00000000
5.46003246	401216.00000000	0.00000000	0.00000000
5.47003269	379445.00000000	0.00000000	0.00000000
5.48003292	363209.00000000	0.00000000	0.00000000
5.49003315	324095.00000000	0.00000000	0.00000000
5.50003338	205771.00000000	0.00000000	0.00000000
5.51003361	189534.00000000	0.00000000	0.00000000
5.52003384	138366.00000000	0.00000000	0.00000000
5.53003407	93348.00000000	0.00000000	0.00000000
