Position	Counts A	Counts B	Counts AB
3.00999999	237627.00000000	0.00000000	0.00000000
3.01999998	247590.00000000	0.00000000	0.00000000
3.02999997	249312.00000000	0.00000000	0.00000000
3.03999996	258167.00000000	0.00000000	0.00000000
3.04999995	246852.00000000	0.00000000	0.00000000
3.05999994	245622.00000000	0.00000000	0.00000000
3.06999993	242301.00000000	0.00000000	0.00000000
3.07999992	278461.00000000	0.00000000	0.00000000
3.08999991	235290.00000000	0.00000000	0.00000000
3.09999990	231969.00000000	0.00000000	0.00000000
3.10999990	228894.00000000	0.00000000	0.00000000
3.11999989	225695.00000000	0.00000000	0.00000000
3.12999988	224343.00000000	0.00000000	0.00000000
3.13999987	222990.00000000	0.00000000	0.00000000
3.14999986	223605.00000000	0.00000000	0.00000000
3.15999985	226310.00000000	0.00000000	0.00000000
3.16999984	228525.00000000	0.00000000	0.00000000
3.17999983	201712.00000000	0.00000000	0.00000000
3.18999982	234551.00000000	0.00000000	0.00000000
3.19999981	237627.00000000	0.00000000	0.00000000
3.20999980	242547.00000000	0.00000000	0.00000000
3.21999979	234060.00000000	0.00000000	0.00000000
3.22999978	248942.00000000	0.00000000	0.00000000
3.23999977	249189.00000000	0.00000000	0.00000000
3.24999976	249189.00000000	0.00000000	0.00000000
3.25999975	224220.00000000	0.00000000	0.00000000
3.26999974	247098.00000000	0.00000000	0.00000000
3.27999973	242055.00000000	0.00000000	0.00000000
3.28999972	239964.00000000	0.00000000	0.00000000
3.29999971	235290.00000000	0.00000000	0.00000000
3.30999970	229509.00000000	0.00000000	0.00000000
3.31999969	225942.00000000	0.00000000	0.00000000
3.32999969	223851.00000000	0.00000000	0.00000000
3.33999968	223113.00000000	0.00000000	0.00000000
3.34999967	220161.00000000	0.00000000	0.00000000
3.35999966	225204.00000000	0.00000000	0.00000000
3.36999965	227048.00000000	0.00000000	0.00000000
3.37999964	230247.00000000	0.00000000	0.00000000
3.38999963	240086.00000000	0.00000000	0.00000000
3.39999962	240825.00000000	0.00000000	0.00000000
3.40999961	243531.00000000	0.00000000	0.00000000
3.41999960	247343.00000000	0.00000000	0.00000000
3.42999959	258660.00000000	0.00000000	0.00000000
3.43999958	249066.00000000	0.00000000	0.00000000
3.44999957	247835.00000000	0.00000000	0.00000000
3.45999956	246360.00000000	0.00000000	0.00000000
3.46999955	243900.00000000	0.00000000	0.00000000
3.47999954	207985.00000000	0.00000000	0.00000000
3.48999953	235166.00000000	0.00000000	0.00000000
3.49999952	230370.00000000	0.00000000	0.00000000
3.50999951	227418.00000000	0.00000000	0.00000000
3.51999950	224958.00000000	0.00000000	0.00000000
3.52999949	222621.00000000	0.00000000	0.00000000
3.53999949	203557.00000000	0.00000000	0.00000000
3.54999948	223359.00000000	0.00000000	0.00000000
