Position	Counts A	Counts B	Counts AB
0.01000000	2450.00000000	0.00000000	0.00000000
0.02000000	482.00000000	0.00000000	0.00000000
0.03000000	2417.00000000	0.00000000	0.00000000
0.04000000	1826.00000000	0.00000000	0.00000000
0.05000000	1465.00000000	0.00000000	0.00000000
0.05999999	1462.00000000	0.00000000	0.00000000
0.06999999	1708.00000000	0.00000000	0.00000000
0.07999999	1101.00000000	0.00000000	0.00000000
0.08999999	1470.00000000	0.00000000	0.00000000
0.09999999	1582.00000000	0.00000000	0.00000000
0.10999998	1472.00000000	0.00000000	0.00000000
0.11999998	1471.00000000	0.00000000	0.00000000
0.12999998	1595.00000000	0.00000000	0.00000000
0.13999999	1594.00000000	0.00000000	0.00000000
0.14999999	1594.00000000	0.00000000	0.00000000
0.16000000	1594.00000000	0.00000000	0.00000000
0.17000000	1595.00000000	0.00000000	0.00000000
0.18000001	1592.00000000	0.00000000	0.00000000
0.19000001	1471.00000000	0.00000000	0.00000000
0.20000002	1595.00000000	0.00000000	0.00000000
0.21000002	1471.00000000	0.00000000	0.00000000
0.22000003	858.00000000	0.00000000	0.00000000
0.23000003	1339.00000000	0.00000000	0.00000000
0.24000004	2200.00000000	0.00000000	0.00000000
0.25000003	734.00000000	0.00000000	0.00000000
0.26000002	1087.00000000	0.00000000	0.00000000
0.27000001	1560.00000000	0.00000000	0.00000000
0.28000000	1100.00000000	0.00000000	0.00000000
0.28999999	981.00000000	0.00000000	0.00000000
0.29999998	1594.00000000	0.00000000	0.00000000
0.30999997	1471.00000000	0.00000000	0.00000000
0.31999996	1595.00000000	0.00000000	0.00000000
0.32999995	1715.00000000	0.00000000	0.00000000
0.33999994	1471.00000000	0.00000000	0.00000000
0.34999993	1472.00000000	0.00000000	0.00000000
0.35999992	1584.00000000	0.00000000	0.00000000
0.36999992	1592.00000000	0.00000000	0.00000000
0.37999991	1589.00000000	0.00000000	0.00000000
0.38999990	1472.00000000	0.00000000	0.00000000
0.39999989	1465.00000000	0.00000000	0.00000000
0.40999988	1471.00000000	0.00000000	0.00000000
0.41999987	2564.00000000	0.00000000	0.00000000
0.42999986	1338.00000000	0.00000000	0.00000000
0.43999985	1461.00000000	0.00000000	0.00000000
0.44999984	1590.00000000	0.00000000	0.00000000
0.45999983	1212.00000000	0.00000000	0.00000000
0.46999982	1449.00000000	0.00000000	0.00000000
0.47999981	1472.00000000	0.00000000	0.00000000
0.48999980	1594.00000000	0.00000000	0.00000000
0.49999979	1594.00000000	0.00000000	0.00000000
0.50999981	1472.00000000	0.00000000	0.00000000
0.51999980	1594.00000000	0.00000000	0.00000000
0.52999979	1472.00000000	0.00000000	0.00000000
0.53999978	1717.00000000	0.00000000	0.00000000
0.54999977	3066.00000000	0.00000000	0.00000000
0.55999976	1470.00000000	0.00000000	0.00000000
0.56999975	1595.00000000	0.00000000	0.00000000
0.57999974	1951.00000000	0.00000000	0.00000000
0.58999974	1341.00000000	0.00000000	0.00000000
0.59999973	1102.00000000	0.00000000	0.00000000
0.60999972	2204.00000000	0.00000000	0.00000000
0.61999971	734.00000000	0.00000000	0.00000000
0.62999970	1714.00000000	0.00000000	0.00000000
0.63999969	1943.00000000	0.00000000	0.00000000
0.64999968	242.00000000	0.00000000	0.00000000
0.65999967	1463.00000000	0.00000000	0.00000000
0.66999966	1330.00000000	0.00000000	0.00000000
0.67999965	1472.00000000	0.00000000	0.00000000
0.68999964	1594.00000000	0.00000000	0.00000000
0.69999963	1594.00000000	0.00000000	0.00000000
0.70999962	1839.00000000	0.00000000	0.00000000
0.71999961	1226.00000000	0.00000000	0.00000000
0.72999960	1594.00000000	0.00000000	0.00000000
0.73999959	1595.00000000	0.00000000	0.00000000
0.74999958	1594.00000000	0.00000000	0.00000000
0.75999957	1595.00000000	0.00000000	0.00000000
0.76999956	1712.00000000	0.00000000	0.00000000
0.77999955	1349.00000000	0.00000000	0.00000000
0.78999954	1471.00000000	0.00000000	0.00000000
0.79999954	1565.00000000	0.00000000	0.00000000
0.80999953	1589.00000000	0.00000000	0.00000000
0.81999952	1219.00000000	0.00000000	0.00000000
0.82999951	1348.00000000	0.00000000	0.00000000
0.83999950	1096.00000000	0.00000000	0.00000000
0.84999949	1084.00000000	0.00000000	0.00000000
0.85999948	1467.00000000	0.00000000	0.00000000
0.86999947	1335.00000000	0.00000000	0.00000000
0.87999946	368.00000000	0.00000000	0.00000000
0.88999945	1464.00000000	0.00000000	0.00000000
0.89999944	1472.00000000	0.00000000	0.00000000
0.90999943	1594.00000000	0.00000000	0.00000000
0.91999942	1471.00000000	0.00000000	0.00000000
0.92999941	1594.00000000	0.00000000	0.00000000
0.93999940	1595.00000000	0.00000000	0.00000000
0.94999939	1594.00000000	0.00000000	0.00000000
0.95999938	1471.00000000	0.00000000	0.00000000
0.96999937	1595.00000000	0.00000000	0.00000000
0.97999936	1471.00000000	0.00000000	0.00000000
0.98999935	2442.00000000	0.00000000	0.00000000
0.99999934	1591.00000000	0.00000000	0.00000000
1.00999939	1697.00000000	0.00000000	0.00000000
1.01999938	1462.00000000	0.00000000	0.00000000
1.02999938	1463.00000000	0.00000000	0.00000000
1.03999937	1693.00000000	0.00000000	0.00000000
1.04999936	1217.00000000	0.00000000	0.00000000
1.05999935	1461.00000000	0.00000000	0.00000000
1.06999934	1469.00000000	0.00000000	0.00000000
1.07999933	1472.00000000	0.00000000	0.00000000
1.08999932	2082.00000000	0.00000000	0.00000000
1.09999931	1711.00000000	0.00000000	0.00000000
1.10999930	859.00000000	0.00000000	0.00000000
1.11999929	1471.00000000	0.00000000	0.00000000
1.12999928	1472.00000000	0.00000000	0.00000000
1.13999927	1594.00000000	0.00000000	0.00000000
1.14999926	1595.00000000	0.00000000	0.00000000
1.15999925	1468.00000000	0.00000000	0.00000000
1.16999924	1460.00000000	0.00000000	0.00000000
1.17999923	1714.00000000	0.00000000	0.00000000
1.18999922	1836.00000000	0.00000000	0.00000000
1.19999921	1342.00000000	0.00000000	0.00000000
1.20999920	1952.00000000	0.00000000	0.00000000
1.21999919	1337.00000000	0.00000000	0.00000000
1.22999918	1452.00000000	0.00000000	0.00000000
1.23999918	0.00000000	0.00000000	0.00000000
1.24999917	1471.00000000	0.00000000	0.00000000
1.25999916	1472.00000000	0.00000000	0.00000000
1.26999915	1471.00000000	0.00000000	0.00000000
1.27999914	981.00000000	0.00000000	0.00000000
1.28999913	2082.00000000	0.00000000	0.00000000
1.29999912	981.00000000	0.00000000	0.00000000
1.30999911	1595.00000000	0.00000000	0.00000000
1.31999910	1717.00000000	0.00000000	0.00000000
1.32999909	1594.00000000	0.00000000	0.00000000
1.33999908	1472.00000000	0.00000000	0.00000000
1.34999907	2942.00000000	0.00000000	0.00000000
1.35999906	245.00000000	0.00000000	0.00000000
1.36999905	1466.00000000	0.00000000	0.00000000
1.37999904	1464.00000000	0.00000000	0.00000000
1.38999903	1834.00000000	0.00000000	0.00000000
1.39999902	1101.00000000	0.00000000	0.00000000
1.40999901	1810.00000000	0.00000000	0.00000000
1.41999900	981.00000000	0.00000000	0.00000000
1.42999899	2327.00000000	0.00000000	0.00000000
1.43999898	613.00000000	0.00000000	0.00000000
1.44999897	2447.00000000	0.00000000	0.00000000
1.45999897	613.00000000	0.00000000	0.00000000
1.46999896	122.00000000	0.00000000	0.00000000
1.47999895	3189.00000000	0.00000000	0.00000000
1.48999894	1595.00000000	0.00000000	0.00000000
1.49999893	1717.00000000	0.00000000	0.00000000
1.50999892	1594.00000000	0.00000000	0.00000000
1.51999891	1472.00000000	0.00000000	0.00000000
1.52999890	1717.00000000	0.00000000	0.00000000
1.53999889	1594.00000000	0.00000000	0.00000000
1.54999888	1472.00000000	0.00000000	0.00000000
1.55999887	2559.00000000	0.00000000	0.00000000
1.56999886	360.00000000	0.00000000	0.00000000
1.57999885	1691.00000000	0.00000000	0.00000000
1.58999884	1222.00000000	0.00000000	0.00000000
1.59999883	2571.00000000	0.00000000	0.00000000
1.60999882	1472.00000000	0.00000000	0.00000000
1.61999881	1339.00000000	0.00000000	0.00000000
1.62999880	1695.00000000	0.00000000	0.00000000
1.63999879	1208.00000000	0.00000000	0.00000000
1.64999878	1471.00000000	0.00000000	0.00000000
1.65999877	1472.00000000	0.00000000	0.00000000
1.66999876	2326.00000000	0.00000000	0.00000000
1.67999876	858.00000000	0.00000000	0.00000000
1.68999875	1472.00000000	0.00000000	0.00000000
1.69999874	2076.00000000	0.00000000	0.00000000
1.70999873	1955.00000000	0.00000000	0.00000000
1.71999872	853.00000000	0.00000000	0.00000000
1.72999871	1472.00000000	0.00000000	0.00000000
1.73999870	1594.00000000	0.00000000	0.00000000
1.74999869	1594.00000000	0.00000000	0.00000000
1.75999868	1825.00000000	0.00000000	0.00000000
1.76999867	1094.00000000	0.00000000	0.00000000
1.77999866	1464.00000000	0.00000000	0.00000000
1.78999865	858.00000000	0.00000000	0.00000000
1.79999864	1577.00000000	0.00000000	0.00000000
1.80999863	1226.00000000	0.00000000	0.00000000
1.81999862	1471.00000000	0.00000000	0.00000000
1.82999861	2314.00000000	0.00000000	0.00000000
1.83999860	613.00000000	0.00000000	0.00000000
1.84999859	1715.00000000	0.00000000	0.00000000
1.85999858	1349.00000000	0.00000000	0.00000000
1.86999857	1471.00000000	0.00000000	0.00000000
1.87999856	3189.00000000	0.00000000	0.00000000
1.88999856	1594.00000000	0.00000000	0.00000000
1.89999855	1468.00000000	0.00000000	0.00000000
1.90999854	1594.00000000	0.00000000	0.00000000
1.91999853	1472.00000000	0.00000000	0.00000000
1.92999852	1593.00000000	0.00000000	0.00000000
1.93999851	1471.00000000	0.00000000	0.00000000
1.94999850	1472.00000000	0.00000000	0.00000000
1.95999849	1594.00000000	0.00000000	0.00000000
1.96999848	1463.00000000	0.00000000	0.00000000
1.97999847	1471.00000000	0.00000000	0.00000000
1.98999846	2321.00000000	0.00000000	0.00000000
1.99999845	490.00000000	0.00000000	0.00000000
2.00999856	1471.00000000	0.00000000	0.00000000
2.01999855	1458.00000000	0.00000000	0.00000000
2.02999854	1331.00000000	0.00000000	0.00000000
2.03999853	1591.00000000	0.00000000	0.00000000
2.04999852	1459.00000000	0.00000000	0.00000000
2.05999851	1472.00000000	0.00000000	0.00000000
2.06999850	1594.00000000	0.00000000	0.00000000
2.07999849	1953.00000000	0.00000000	0.00000000
2.08999848	1227.00000000	0.00000000	0.00000000
2.09999847	1471.00000000	0.00000000	0.00000000
2.10999846	1595.00000000	0.00000000	0.00000000
2.11999846	1471.00000000	0.00000000	0.00000000
2.12999845	1594.00000000	0.00000000	0.00000000
2.13999844	1472.00000000	0.00000000	0.00000000
2.14999843	1595.00000000	0.00000000	0.00000000
2.15999842	1458.00000000	0.00000000	0.00000000
2.16999841	1586.00000000	0.00000000	0.00000000
2.17999840	1587.00000000	0.00000000	0.00000000
2.18999839	1219.00000000	0.00000000	0.00000000
2.19999838	1830.00000000	0.00000000	0.00000000
2.20999837	975.00000000	0.00000000	0.00000000
2.21999836	1947.00000000	0.00000000	0.00000000
2.22999835	1462.00000000	0.00000000	0.00000000
2.23999834	368.00000000	0.00000000	0.00000000
2.24999833	2695.00000000	0.00000000	0.00000000
2.25999832	1590.00000000	0.00000000	0.00000000
2.26999831	1594.00000000	0.00000000	0.00000000
2.27999830	1594.00000000	0.00000000	0.00000000
2.28999829	1595.00000000	0.00000000	0.00000000
2.29999828	1592.00000000	0.00000000	0.00000000
2.30999827	1594.00000000	0.00000000	0.00000000
2.31999826	1472.00000000	0.00000000	0.00000000
2.32999825	1590.00000000	0.00000000	0.00000000
2.33999825	2326.00000000	0.00000000	0.00000000
2.34999824	732.00000000	0.00000000	0.00000000
2.35999823	1593.00000000	0.00000000	0.00000000
2.36999822	1472.00000000	0.00000000	0.00000000
2.37999821	1471.00000000	0.00000000	0.00000000
2.38999820	2801.00000000	0.00000000	0.00000000
2.39999819	122.00000000	0.00000000	0.00000000
2.40999818	1466.00000000	0.00000000	0.00000000
2.41999817	1585.00000000	0.00000000	0.00000000
2.42999816	1342.00000000	0.00000000	0.00000000
2.43999815	1714.00000000	0.00000000	0.00000000
2.44999814	1341.00000000	0.00000000	0.00000000
2.45999813	1594.00000000	0.00000000	0.00000000
2.46999812	2203.00000000	0.00000000	0.00000000
2.47999811	859.00000000	0.00000000	0.00000000
2.48999810	2206.00000000	0.00000000	0.00000000
2.49999809	976.00000000	0.00000000	0.00000000
2.50999808	1595.00000000	0.00000000	0.00000000
2.51999807	1471.00000000	0.00000000	0.00000000
2.52999806	1466.00000000	0.00000000	0.00000000
2.53999805	1691.00000000	0.00000000	0.00000000
2.54999804	1462.00000000	0.00000000	0.00000000
2.55999804	1838.00000000	0.00000000	0.00000000
2.56999803	859.00000000	0.00000000	0.00000000
2.57999802	1471.00000000	0.00000000	0.00000000
2.58999801	1472.00000000	0.00000000	0.00000000
2.59999800	1468.00000000	0.00000000	0.00000000
2.60999799	1471.00000000	0.00000000	0.00000000
2.61999798	1584.00000000	0.00000000	0.00000000
2.62999797	2686.00000000	0.00000000	0.00000000
2.63999796	1708.00000000	0.00000000	0.00000000
2.64999795	1471.00000000	0.00000000	0.00000000
2.65999794	1595.00000000	0.00000000	0.00000000
2.66999793	1592.00000000	0.00000000	0.00000000
2.67999792	1463.00000000	0.00000000	0.00000000
2.68999791	2207.00000000	0.00000000	0.00000000
2.69999790	854.00000000	0.00000000	0.00000000
2.70999789	1595.00000000	0.00000000	0.00000000
2.71999788	1471.00000000	0.00000000	0.00000000
2.72999787	1712.00000000	0.00000000	0.00000000
2.73999786	1345.00000000	0.00000000	0.00000000
2.74999785	1837.00000000	0.00000000	0.00000000
