File,Size (KB),Original Mean (ms),Selected Mean (ms),Original Median (ms),Selected Median (ms),Original Min (ms),Selected Min (ms),Original Max (ms),Selected Max (ms),Speedup,Faster (%),Data Identical
18_30mm Single Photon Laser 40_3.txt,32.783203125,0.8648514980450273,0.6452006055042148,0.8750414999667555,0.639641541056335,0.7507929694838822,0.6029399810358882,0.9487240458838642,0.7070730207487941,1.3404381376380738,25.397526978600048,True
18_31mm Single Photon Laser 40_3.txt,32.7666015625,0.7493968994822353,0.6303176051005721,0.7443685026373714,0.6130665133241564,0.6972950068302453,0.5778660415671766,0.8079230319708586,0.7052569999359548,1.1889195120334028,15.890016954158211,True
18_32mm Single Photon Laser 40_3.txt,32.7666015625,0.7736456114798784,0.6000135093927383,0.7500605133827776,0.6011935183778405,0.6967360386624932,0.5803119856864214,0.8971109637059271,0.6195619935169816,1.28938032122455,22.44336418518624,True
18_33mm Single Photon Laser 40_3.txt,32.783203125,0.7127582037355751,0.6106781016569585,0.7101460068952292,0.6101330218371004,0.6825589807704091,0.5795430042780936,0.7449279655702412,0.6674730102531612,1.1671586090964154,14.32184176114893,True
18_34mm Single Photon Laser 40_3.txt,32.7958984375,0.7356102054473013,0.6125290936324745,0.7268380140885711,0.5994134990032762,0.6829079939052463,0.5876449868083,0.8255940047092736,0.7032319554127753,1.2009392094094995,16.73183853396719,True
18_35mm Single Photon Laser 10.txt,32.849609375,0.7647412014193833,0.5948521080426872,0.750375009374693,0.5945934972260147,0.6836769753135741,0.5814990145154297,0.8626790367998183,0.6197720067575574,1.285598875888164,22.2152400134028,True
18_35mm Single Photon Laser 40.txt,32.861328125,0.7276694115716964,0.6013195030391216,0.7163974805735052,0.5969335325062275,0.6786480080336332,0.5833840114064515,0.8059680112637579,0.6222160300239921,1.210121088529461,17.363641582744428,True
18_35mm Single Photon Laser 40_3.txt,32.7958984375,0.7838146120775491,0.596737809246406,0.7303300080820918,0.5908920138608664,0.6816509994678199,0.5798219935968518,0.9332190384157002,0.6270349840633571,1.313499161495053,23.86748090027111,True
18_36mm Single Photon Laser 10.txt,32.849609375,0.710251007694751,0.5964095995295793,0.709342974005267,0.5924984870944172,0.6833969964645803,0.5830349982716143,0.7335430127568543,0.6245209951885045,1.1908778937410878,16.028334621398816,True
18_36mm Single Photon Laser 40.txt,32.859375,0.8253352949395776,0.6512422056403011,0.8633430115878582,0.6465559999924153,0.7158729713410139,0.5899490206502378,0.9190410492010415,0.7123120012693107,1.2673246417254365,21.09361981326895,True
